Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
59.0,59.0,59.0,0.3056,0.2041,0.5979,0.2933,0.5405,0.2857,0.3182,0.9,"950
90%",NN,0.3796992481203007,0.3636207586154988
60.0,60.0,60.0,0.0,0.2222,0.5323,0.1579,0.3333,0.0,0.2202,0.0,"0
0%",NN,0.2894736842105263,0.2094131204503317
61.0,61.0,61.0,0.2353,0.1778,0.5545,0.35,0.4186,0.2,0.32,0.9,"950
90%",NN,0.3458646616541353,0.3223045703045973
62.0,62.0,62.0,0.0,0.0,0.5273,0.0571,0.3809,0.2449,0.2857,0.0,"0
0%",NN,0.2894736842105263,0.2137114586094178
63.0,63.0,63.0,0.2712,0.1818,0.5714,0.3768,0.4615,0.3,0.2414,0.9,"950
90%",NN,0.3796992481203007,0.3434517942872723
64.0,64.0,64.0,0.2778,0.0435,0.4909,0.3333,0.386,0.0,0.2588,0.0,"0
0%",NN,0.3007518796992481,0.2557552720831763
65.0,65.0,65.0,0.3014,0.25,0.5349,0.32,0.5217,0.2687,0.2892,0.9,"950
90%",NN,0.3684210526315789,0.3551151510432354
66.0,66.0,66.0,0.2388,0.2553,0.3333,0.3636,0.42,0.0,0.2981,0.0,"0
0%",NN,0.3007518796992481,0.2727473517168363
67.0,67.0,67.0,0.3836,0.2273,0.5843,0.3218,0.4819,0.2895,0.25,0.9,"950
90%",NN,0.3759398496240601,0.3626206442204803
68.0,68.0,68.0,0.3117,0.1702,0.5,0.3023,0.5227,0.2807,0.2118,0.0,"0
0%",NN,0.3458646616541353,0.3284886274338139
69.0,69.0,69.0,0.2973,0.2692,0.5631,0.3684,0.411,0.2812,0.3778,0.9,"950
90%",NN,0.3834586466165413,0.3668632281662168
70.0,70.0,70.0,0.1818,0.12,0.6071,0.4368,0.4,0.2222,0.0,0.0,"0
0%",NN,0.3571428571428571,0.2811378386255234
71.0,71.0,71.0,0.2985,0.2174,0.5979,0.3297,0.4884,0.3099,0.2703,0.9,"950
90%",NN,0.3796992481203007,0.3588583941796748
72.0,72.0,72.0,0.241,0.1395,0.5175,0.2791,0.3158,0.2295,0.2549,0.0,"0
0%",NN,0.3195488721804511,0.2824643793224043
